First Name, Last Name, City, Age
Josefina, Daniels, Hendersonville, 20
Angelita, Simon, Verdi, 41
Fran, Shepard, Zeba, 57
Guerrero, Levy, Leola, 41
Calhoun, Thomas, Ticonderoga, 54
Karen, Kirk, Aberdeen, 32
Hampton, Blackburn, Newcastle, 29
Natalie, Lester, Hayden, 55
Lynch, Carpenter, Guthrie, 37
Cassandra, Ochoa, Jenkinsville, 65
Garrison, Everett, Crown, 55
Reed, Madden, Cashtown, 35
Harrell, Bradley, Hampstead, 55
Keller, Cline, Holtville, 58
Sarah, Warner, Wiscon, 28
Anna, Bonner, Dotsero, 63
Dunn, Randolph, Winesburg, 27
Jeri, Blair, Retsof, 20
Lindsay, Emerson, Ripley, 54
Chen, Thornton, Elrama, 28
Walter, Blankenship, Genoa, 62
Vera, Henson, Wheatfields, 23
Stephenson, Frazier, Deltaville, 25
Mendoza, Rasmussen, Fontanelle, 42
Claudette, Andrews, Hiko, 36
Kerry, Adams, Kempton, 30
Slater, Davis, Orason, 44
Wilder, English, Sidman, 19
Simpson, Knowles, Walker, 41
Clara, Bradford, Elfrida, 63
Lucile, Palmer, Kipp, 20
Cindy, Morin, Hobucken, 61
Carolyn, Sampson, Yettem, 48
Amber, Perry, Allison, 46
Donaldson, Conrad, Dupuyer, 61
Leonor, Simpson, Glendale, 58
Herminia, Downs, Glasgow, 65
Graves, Hoover, Blackgum, 54
Reilly, Mathews, Innsbrook, 44
Logan, Lindsey, Bethpage, 58
Galloway, Newman, Coldiron, 49
Francesca, Tate, Romeville, 46
Patrick, Simmons, Adelino, 20
Amparo, Walsh, Jacksonwald, 40
Trisha, Hart, Greenwich, 59
Kendra, Nelson, Matheny, 65
Singleton, Gould, Smock, 57
York, Crane, Ellerslie, 27
Brandie, Michael, Chicopee, 22
Nanette, Hamilton, Tedrow, 50
Lessie, Cole, Allamuchy, 21
Trujillo, Hatfield, Comptche, 49
Griffith, Buck, Frank, 29
Madge, Serrano, Robinette, 27
Lucinda, Lee, Bloomington, 37
Barbra, Lindsay, Loyalhanna, 21
Valerie, Nguyen, Cawood, 33
Benson, Sargent, Sharon, 57
Hale, Burks, Crumpler, 53
Penelope, Dodson, Sugartown, 35
Mays, Woodard, Makena, 27
Rosario, Cabrera, Carrsville, 45
Helen, Townsend, Tibbie, 18
Justice, Clay, Nash, 58
Marcie, Cooke, Chical, 56
Penny, Shelton, Kenwood, 43
Dickson, Mcconnell, Golconda, 40
Sherri, Chaney, Bath, 58
Annie, Paul, Ada, 43
Minnie, Torres, Blanco, 48
Nina, Galloway, Grahamtown, 47
Watkins, Herman, Cascades, 30
Patti, Bailey, Hanover, 43
Mcclure, Barrera, Advance, 49
Barry, Mcdonald, Waterford, 35
Hernandez, Hill, Lewis, 40
Jordan, Spears, Hardyville, 54
Brown, Hewitt, Gardners, 54
Jami, Calhoun, Falmouth, 43
Short, Chapman, Sunnyside, 53
Gertrude, Mcintosh, Whitestone, 31
Fox, Schultz, Itmann, 47
Alberta, Mccoy, Brogan, 56
Walters, Nixon, Shrewsbury, 60
Gordon, Mendez, Sheatown, 29
Keith, Lyons, Reno, 40
Waters, Larsen, Thomasville, 25
Moses, Hernandez, Snyderville, 44
Travis, Hopkins, Klagetoh, 21
Delacruz, Ortiz, Dalton, 41
Schroeder, Stanton, Rose, 24
Gillespie, Valdez, Maplewood, 24
Skinner, Rodriquez, Edneyville, 41
Kristie, Russell, Lacomb, 63
Georgina, Booth, Faxon, 57
Bullock, Byrd, Fivepointville, 49
Parsons, Benjamin, Jardine, 50
Marissa, Goodman, Belleview, 21
Roslyn, Brennan, Valmy, 60
Cherry, Nieves, Cecilia, 42
West, Vega, Hillsboro, 64
Sallie, Best, Idamay, 45
Kelley, Estes, Stockdale, 20
Dee, Watts, Temperanceville, 24
Isabella, Waters, Ferney, 47
Marguerite, Marsh, Coaldale, 41
Yesenia, Mcguire, Foxworth, 28
Velez, Mullins, Fairacres, 55
Carney, Durham, Wheaton, 34
Jamie, Combs, Longbranch, 59
Lopez, Noel, Monument, 28
Chavez, Pennington, Welda, 50
Yang, Garza, Gloucester, 64
Oconnor, Landry, Tetherow, 28
Martha, Harrison, Gilmore, 30
Harding, Stevenson, Ahwahnee, 46
Rachel, Hensley, Fresno, 20
Allen, Lancaster, Cherokee, 26
Paulette, Cain, Springdale, 46
Amanda, Kaufman, Dale, 34
Lina, Perez, Brenton, 62
Klein, Berger, Delshire, 23
Earlene, Walls, Lupton, 39
Angel, Mckee, Alden, 20
Bernadine, Heath, Mammoth, 63
Garcia, Wolfe, Cumberland, 32
Howe, Santana, Fairview, 43
Pennington, Hughes, Kiskimere, 43
Tracy, Conley, Hiwasse, 56
Rivera, Randall, Rushford, 25
Barlow, Dunn, Conway, 60
Mcclain, Knight, Malo, 64
Evelyn, Joyner, Catherine, 23
Holland, Lambert, Harold, 49
Dorothea, Pitts, Katonah, 54
Heidi, Sawyer, Maybell, 41
Santos, Wiggins, Finzel, 41
Hess, Morgan, Herald, 65
Potts, Mercado, Carrizo, 65
Ethel, Odonnell, Boomer, 39
Bethany, Parks, Faywood, 61
Nancy, Battle, Fruitdale, 53
Lacey, Stark, Tuttle, 53
Moody, Burch, Sunwest, 26
Santana, Maynard, Hollins, 32
Aimee, Boyd, Clarktown, 22
Valeria, Holloway, Edinburg, 36
Coffey, Martinez, Blandburg, 49
Joann, Leach, Chemung, 28
Bianca, Cox, Ebro, 51
Cooper, Elliott, Lynn, 44
Calderon, Gillespie, Dorneyville, 63
Misty, Barrett, Barronett, 61
Jan, Stewart, Robinson, 55
Glass, Gilliam, Sperryville, 60
Fletcher, Ramirez, Jackpot, 24
Tanisha, Beasley, Watrous, 40
Anita, Cummings, Bangor, 46
Burns, Murphy, Hartsville / Hartley, 33
Bass, Howe, Gouglersville, 32
Marshall, Short, Soham, 26
Antoinette, Acosta, Sanborn, 56
Bennett, Douglas, Boyd, 40
Shelby, Hendricks, Disautel, 43
Janna, Mclaughlin, Winston, 43
Josie, Mcclure, Vincent, 25
Howard, Mccray, Calvary, 40
Ada, Dejesus, Nutrioso, 54
Tammie, Rowe, Strykersville, 25
Lorna, Price, Craig, 52
Desiree, Ayala, Longoria, 34
Lorie, Prince, Veyo, 27
Spence, George, Dola, 46
Sanford, Alston, Vernon, 65
Moreno, Patrick, Brantleyville, 29
Fuentes, Dudley, Marenisco, 40
Ester, Valencia, Weogufka, 26
Rodriquez, Hoffman, Datil, 49
Valenzuela, Gilbert, Cochranville, 65
Buck, Fulton, Trona, 26
Bessie, Tucker, Kerby, 43
Polly, Boone, Sussex, 37
Cain, Fisher, Tolu, 42
Lakeisha, Valenzuela, Interlochen, 20
Pamela, Porter, Brewster, 47
Sandy, Logan, Shasta, 59
Ashley, Pittman, Waterview, 65
Patty, Ware, Enetai, 36
Savage, Watkins, Haena, 30
Toni, Herring, Nicut, 21
Lola, Wise, Klondike, 63
Deidre, Strickland, Gibsonia, 24
Hoffman, Bowman, Wescosville, 54
Louise, Lara, Limestone, 48
Freeman, Whitfield, Dargan, 54
Frederick, Mercer, Northridge, 49
Morin, Ruiz, Bayview, 32
Dale, Sykes, Avalon, 20
Mandy, Wiley, Shawmut, 48
Austin, Doyle, Greenfields, 28
Dickerson, Oneil, Celeryville, 64
Maura, Pate, Stagecoach, 37
Helena, Kelly, Albany, 61
Laurel, Guzman, Grazierville, 41
Therese, Weaver, Canterwood, 59
Angeline, Dunlap, Ventress, 25
Suarez, Hurst, Laurelton, 29
Cheri, Mcneil, Fairforest, 19
Burgess, Cooper, Morgandale, 50
Ivy, Gray, Roderfield, 48
Juanita, Ellison, Westboro, 53
Maryellen, Hancock, Stockwell, 57
Everett, Chase, Shaft, 19
Solis, Potts, Beechmont, 44
Maureen, Slater, Tecolotito, 59
English, Glass, Downsville, 57
Barron, Vincent, Inkerman, 50
Joni, Austin, Kilbourne, 30
Alvarado, Houston, Springhill, 65
Alma, Preston, Keller, 42
Rosalinda, Ramos, Charco, 61
Booker, Vasquez, Summertown, 55
Latoya, Bradshaw, Bentley, 22
Mccray, Riggs, Islandia, 51
Rice, Alexander, Eagletown, 34
Marietta, Campbell, Windsor, 61
Cote, Sharpe, Lutsen, 52
Betsy, Wallace, Mahtowa, 29
Barker, Young, Ogema, 53
Kline, Morales, Wintersburg, 50
Levine, Hardin, Harleigh, 50
Katheryn, Gay, Chamberino, 28
Fowler, Blevins, Montura, 45
Gamble, Cochran, Spokane, 29
Nita, Haynes, Freeburn, 57
Marquita, Jordan, Ruffin, 38
Richmond, Marshall, Marysville, 23
Christensen, Carlson, Independence, 41
Edwards, Daugherty, Breinigsville, 28
Rose, Le, Sunriver, 61
Jacobson, Gardner, Moraida, 55
Robbins, Tran, Gordon, 33
Wilda, Meyers, Nord, 49
Dolly, York, Rodanthe, 36
Allyson, Bush, Swartzville, 25
Dianne, Little, Brule, 64
Hammond, Boyer, Callaghan, 65
Lelia, Cortez, Frierson, 32
Knox, Benson, Richville, 25
Hendricks, Eaton, Coultervillle, 19
Audra, Barr, Riegelwood, 59
Lakisha, Clemons, Ballico, 60
Carissa, Gibson, Driftwood, 59
Mabel, Jones, Jacumba, 53
Beck, Beard, Tuskahoma, 38
Cecelia, Raymond, Crucible, 64
Mcguire, Foster, Cade, 59
Cooke, Massey, Fingerville, 37
Rasmussen, Franks, Corinne, 25
Espinoza, Bright, Croom, 43
Milagros, Willis, Washington, 31
Corina, Berry, Oasis, 40
Crane, Rojas, Brutus, 19
Elva, Dale, Concho, 59
Drake, Curry, Waterloo, 50
Selena, Bennett, Somerset, 48
Lancaster, Arnold, Belfair, 45
Pratt, Conway, Ilchester, 40
Beryl, Sanchez, Cliff, 60
Vicki, Oliver, Dragoon, 28
Estrada, Stafford, Darlington, 45
Rivas, Kirkland, Dixonville, 61
Pugh, Kerr, Cartwright, 44
Twila, Maldonado, Esmont, 59
Delia, Mcknight, Kennedyville, 41
Charlene, Vaughan, Bowmansville, 30
Etta, Nicholson, Catharine, 51
Lang, Macias, Calpine, 25
Hogan, Leon, Hoagland, 31
Elisabeth, Diaz, Libertytown, 55
Trudy, Duncan, Choctaw, 25
Kinney, Parrish, Duryea, 32
Gracie, Kemp, Frizzleburg, 28
Figueroa, Hammond, Grimsley, 62
Claire, Frederick, Lisco, 36
Herman, Mcdaniel, Bodega, 60
Christian, Jensen, Leyner, 42
Spencer, Mann, Farmers, 48
Lilia, Brock, Websterville, 59
Sosa, Briggs, Hickory, 23
Genevieve, Byers, Spelter, 53
Acosta, Moses, Brandermill, 38
Robinson, Holland, Layhill, 64
Trevino, Calderon, Sterling, 27
Shirley, House, Southmont, 21
Lynn, Mcgowan, Mulino, 39
Darlene, Sandoval, Dunlo, 51
Sykes, Matthews, Edgar, 38
Regina, King, Westwood, 26
Janette, Hull, Coventry, 60
Caitlin, Chen, Belvoir, 19
Allie, Stone, Stevens, 32
Candy, Becker, Harmon, 59
Ladonna, French, Bison, 49
Roxanne, Carter, Goochland, 20
Jewel, Quinn, Selma, 30
Doyle, Terrell, Wilsonia, 53
Francis, Ray, Coyote, 55
Cook, Frye, Ronco, 57
Susan, Kinney, Deercroft, 24
Rollins, Merrill, Saranap, 32
Noble, Shaffer, Caron, 63
Hartman, Flowers, Marion, 47
Myrtle, Hahn, Statenville, 35
Kelli, Rocha, Ironton, 56
Kirsten, Watson, Elwood, 63
Charity, Gaines, Nettie, 19
Marcy, Huber, Sardis, 56
Wallace, Peterson, Townsend, 27
Stewart, Vinson, Evergreen, 64
Tamika, Pollard, Bonanza, 62
Lucille, Lewis, Bladensburg, 18
Elisa, Middleton, Kansas, 35
Whitney, Griffith, Juarez, 58
Goodman, Osborn, Lumberton, 65
Perkins, Robinson, Williams, 62
Townsend, Payne, Sultana, 24
Wall, Dyer, Valle, 63
Eve, Kline, Wauhillau, 44
Gretchen, Thompson, Kylertown, 53
Tara, Robertson, Bawcomville, 34
Ofelia, Snow, Clinton, 63
Greer, Fitzgerald, Caln, 63
Schultz, Garrison, Sanford, 57
Weiss, Chang, Harborton, 58
Hope, Luna, Collins, 33
Cruz, Mitchell, Tilden, 41
Dixon, Potter, Mooresburg, 19
Tameka, Norris, Wyano, 39
Lenore, Curtis, Aurora, 61
Le, Hayden, Macdona, 30
Selma, Fry, Cresaptown, 42
Salas, Gregory, Maxville, 32
Marianne, Alvarez, Biehle, 56
Webster, Montgomery, Woodburn, 23
Winters, Lawrence, Kanauga, 23
Golden, Waller, Rowe, 53
Meadows, Camacho, Chesterfield, 60
Katharine, Sears, Manila, 55
May, Wilkerson, Bentonville, 29
Melinda, Puckett, Day, 20
Britney, Petersen, Fowlerville, 19
Goff, Dorsey, Mathews, 27
Thelma, Walker, Noxen, 62
Medina, Guerra, Calverton, 49
Beach, Armstrong, Centerville, 26
Bertie, Crosby, Sedley, 27
Rosalie, Norton, Eggertsville, 39
Shelly, Avery, Bainbridge, 19
Valarie, Woods, Cornucopia, 56
Rhea, Callahan, Roosevelt, 40
Michael, Navarro, Loveland, 56
Melton, Ferguson, Jamestown, 40
Ayala, Owens, Iberia, 22
Navarro, Ratliff, Warsaw, 58
Martinez, Langley, Alderpoint, 64
Karla, Cotton, Fairlee, 29
Frieda, Wade, Wollochet, 33
Araceli, Wilder, Strong, 64
Celeste, Alvarado, Accoville, 45
Sparks, Hester, Homeland, 51
Frazier, Ford, Hayes, 53
Bradford, Dominguez, Sisquoc, 32
Garner, Hopper, Eureka, 36
Agnes, Nielsen, Cucumber, 46
Griffin, Hodges, Clay, 31
Bobbi, Branch, Crayne, 24
Snyder, Burke, Kula, 21
Dominguez, Martin, Rockhill, 55
Sellers, Brown, Idledale, 44
Adele, Barnes, Kingstowne, 52
Hart, Roberson, Allensworth, 55
Gates, Faulkner, Worcester, 21
Tucker, Foreman, Glenshaw, 44
Veronica, Yang, Lavalette, 39
Althea, Goodwin, Franklin, 18
Janet, Evans, Lafferty, 61
Nola, Bond, Vienna, 40
Landry, Workman, Madrid, 34
Dotson, Harrell, Caberfae, 32
Diann, Mullen, Vaughn, 49
Antonia, Finch, Hailesboro, 18
Nelson, Cooley, Topaz, 21
Jayne, Bowen, Oley, 51
Delgado, Whitehead, Needmore, 26
Larson, Mcleod, Odessa, 50
Tami, Spence, Moquino, 41
Harriet, Johns, Forestburg, 28
Alejandra, Grant, Kirk, 28
Elba, Bishop, Ivanhoe, 18
Florine, Campos, Geyserville, 38
Michele, Bowers, Imperial, 27
Nolan, Henderson, Orovada, 61
Jensen, Pacheco, Hollymead, 29
Hendrix, Vazquez, Efland, 33
Tonia, Atkinson, Glenbrook, 31
Deborah, Barber, Leeper, 28
Welch, Swanson, Iola, 36
Avila, Sims, Convent, 60
Solomon, Barker, Marshall, 21
Wendi, Orr, Abiquiu, 57
Gwen, Grimes, Vandiver, 37
Hinton, Figueroa, Hall, 33
Norris, Mason, Wilmington, 37
Kathrine, Sullivan, Gerber, 19
Anderson, Mcgee, Ola, 64
Lorene, Moreno, Hiseville, 60
Contreras, Munoz, Boling, 53
Adams, Sosa, Sunbury, 37
Ruiz, Padilla, Reinerton, 45
Mills, Cohen, Bridgetown, 48
Pickett, Washington, Malott, 31
Moore, Burris, Cotopaxi, 63
Bruce, Skinner, Lodoga, 45
Woods, Rivera, Hessville, 40
Sadie, Donaldson, Greenock, 49
Daphne, Burns, Basye, 58
Stevens, Powers, Indio, 51
Jeanine, Schmidt, Baker, 27
Faith, Kramer, Noblestown, 40
Arlene, Solomon, Felt, 33
Lou, Lucas, Savannah, 28
Adrian, Wong, Lydia, 37
Humphrey, Fleming, Thynedale, 28
Cristina, Jacobs, Forbestown, 57
Wiggins, Berg, Vivian, 20
Beard, Coffey, Omar, 52
Lea, Herrera, Gila, 64
Lara, Banks, Harrodsburg, 65
Collier, Sweet, Gratton, 53
Kristi, Morrow, Morriston, 18
Charmaine, Ewing, Nadine, 60
Carey, Mendoza, Derwood, 53
Terrell, Schneider, Bowie, 49
Monique, Harper, Saticoy, 65
Brandi, Davenport, Allentown, 23
Odom, Castaneda, Lorraine, 32
Downs, Scott, Floris, 50
Hoover, Oneal, Loretto, 36
Ana, Mack, Drytown, 64
Sampson, Davidson, Ribera, 44
Georgia, Hunter, Devon, 62
Luann, Benton, Wedgewood, 29
Gay, Roth, Joppa, 57
Wheeler, Griffin, Stonybrook, 22
Ines, Franco, Walland, 64
Jeanie, Mejia, Tioga, 26
Livingston, James, Clayville, 22
Odessa, Strong, Kapowsin, 47
Fitzgerald, Chan, Bradenville, 41
Bolton, Melendez, Columbus, 34
Alicia, Edwards, Tooleville, 28
Spears, William, Cavalero, 51
Morrow, Perkins, Gallina, 54
Clare, Casey, Staples, 36
Battle, Compton, Slovan, 48
Dixie, Vance, Tivoli, 25
Chandler, Donovan, Healy, 30
Josephine, Shannon, Skyland, 56
Mejia, Mooney, Galesville, 44
Brigitte, Webb, Robbins, 46
Bishop, Gentry, Cobbtown, 39
Deleon, Rosales, Taft, 59
Saunders, Hurley, Chelsea, 55
Obrien, Carey, Loma, 65
Chrystal, Nolan, Chautauqua, 30
Graham, Hendrix, Whitehaven, 26
Lesa, Farrell, Westphalia, 56
Ellen, Reese, Fedora, 28
Tamra, Brady, Fidelis, 37
Sheena, Williamson, Goldfield, 41
Jodi, Anderson, Escondida, 22
Hilary, Black, Succasunna, 65
Rosemarie, Dean, Fannett, 20
Henry, Roman, Bellamy, 52
Queen, Mccormick, Englevale, 45
Paula, Pearson, Wells, 30
Fay, Vargas, Sabillasville, 39
Staci, Morton, Emison, 47
Phyllis, Knox, Lindisfarne, 25
Lolita, Humphrey, Heil, 21
Natasha, Bass, Beyerville, 62
Miller, Johnson, Eastvale, 53
Bentley, Bullock, Cressey, 21
Elma, Floyd, Colton, 29
Whitley, Delgado, Wildwood, 46
Gay, Pena, Farmington, 42
Hayden, Fletcher, Detroit, 21
Mara, Delaney, Kraemer, 24
Dionne, Jacobson, Mayfair, 22
Nettie, Pope, Urie, 53
Dennis, Foley, Jugtown, 60
Nicholson, Riddle, Ernstville, 44
Faulkner, Stout, Clara, 63
Shelton, Merritt, Turpin, 24
Bean, Bentley, Vowinckel, 46
Sargent, Forbes, Martinez, 43
Levy, Dickerson, Grill, 46
Bradshaw, Head, Fairfield, 44
Lara, Leonard, Greenbush, 29
Mcbride, Long, Camptown, 40
Fry, Graves, Santel, 27
Lenora, Warren, Williston, 26
Vaughan, Fischer, Lowell, 65
Poole, Burnett, Rote, 44
Strickland, Walters, Coalmont, 60
Maxine, Bird, Bancroft, 54
Winifred, Lawson, Manchester, 47
Jessie, Hardy, Oretta, 61
Virginia, Larson, Alleghenyville, 44
Jackson, Finley, Gilgo, 23
Porter, England, Woodlands, 47
Eunice, Mccall, Caroline, 31
Ayers, Wilson, Brownsville, 48
Heath, Mcintyre, Gambrills, 65
Herrera, Garcia, Elbert, 25
Copeland, Sparks, Delwood, 34
Diane, Salinas, Foscoe, 31
Snider, Hudson, Mansfield, 23
Schneider, Rose, Winfred, 22
Viola, Noble, Utting, 53
Billie, Harrington, Toftrees, 29
Pruitt, Lamb, Manitou, 40
Page, Holt, Wawona, 19
Maribel, Gibbs, Worton, 18
Cameron, Carson, Eagleville, 18
Green, Sanford, Cleary, 57
Lavonne, Butler, Gibbsville, 59
Lana, Goff, Cutter, 39
Riddle, Avila, Churchill, 58
Bonita, Kennedy, Draper, 30
Williams, Klein, Homeworth, 29
Imelda, Beck, Broadlands, 19
Cherry, Olson, Gadsden, 28
Aguirre, Shaw, Conestoga, 58
Sara, Olsen, Soudan, 20
Marquez, Mckinney, Oneida, 47
Margery, Garner, Loomis, 43
Britt, Collins, Grapeview, 25
Lourdes, Daniel, Martinsville, 28
Ursula, Frank, Salunga, 30
Guzman, Mcfadden, Leland, 18
Bonnie, Mcbride, Wanship, 53
Mack, Dennis, Bellfountain, 36
Farrell, West, Gasquet, 30
Bowman, Hubbard, Hachita, 38
Jillian, Phelps, Templeton, 26
Lisa, Barton, Davenport, 59
Morrison, Hogan, Greer, 21
Geneva, Welch, Olney, 43
Alvarez, Greene, Sutton, 43
Higgins, Mueller, Jennings, 62
Pate, Jennings, Elliston, 40
Sofia, Pace, Trinway, 27
Mcfadden, Garrett, Connerton, 62
Olson, Salazar, Whitmer, 50
Renee, Hooper, Suitland, 31
Tisha, Snider, Rutherford, 65
Blanche, Salas, Yardville, 32
Burris, Albert, Springville, 45
Leblanc, Carney, Witmer, 19
Stacey, Meyer, Goodville, 60
Patrica, Wilkinson, Mulberry, 34
Donna, Ball, Orick, 42
Morales, Browning, Villarreal, 33
Riggs, Freeman, Eastmont, 38
Hall, David, Virgie, 18
Johnson, Hartman, Dubois, 44
Reva, Acevedo, Navarre, 53
Aurora, Turner, Bascom, 48
Christina, Key, Southview, 54
Marlene, Odom, Volta, 28
Bowers, Cote, Why, 65
Cathy, Moss, Groveville, 39
Annmarie, Cherry, Riverton, 37
Stark, Mcpherson, Waiohinu, 43
Eloise, Bryan, Belgreen, 58
Camille, Burt, Kieler, 34
Beverley, Rosario, Rockbridge, 39
Catherine, Hyde, Avoca, 20
Juliette, Stevens, Nipinnawasee, 59
Smith, Gonzales, Nogal, 60
Conrad, Richardson, Norvelt, 60
Langley, Anthony, Elizaville, 22
Hayes, Bray, Henrietta, 18
Teri, Juarez, Greensburg, 38
French, Pickett, Unionville, 20
Jill, Macdonald, Stewartville, 51
Hahn, Cardenas, Dexter, 35
Jacqueline, Richard, Muir, 37
Sweeney, Hansen, Onton, 29
Wolf, Kelley, Taycheedah, 28
Joan, Rice, Matthews, 22
Potter, Holman, Williamson, 42
Mitchell, Peck, Fulford, 27
Gilliam, Wilcox, Como, 29
Haley, Mcdowell, Smeltertown, 60
